               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  14,            0.040379,           0.0086978,           0.0012285,             0.28463,             0.30622,             0.21877,            0.067873,            0.074094,            0.011726,           0.0091157,           0.0048451,           0.0048451,            0.055445
                  15,            0.042893,             0.00845,           0.0012023,             0.28442,             0.27214,             0.18178,             0.05886,            0.073501,            0.011145,            0.010196,           0.0051539,           0.0051539,            0.052454
                  16,             0.04302,           0.0085463,           0.0012951,             0.27788,             0.20898,             0.15855,             0.05284,             0.07638,            0.010886,            0.009861,           0.0054598,           0.0054598,             0.04946
                  17,            0.043277,           0.0086481,           0.0013298,             0.33832,             0.20898,             0.18969,            0.049213,             0.07696,            0.010613,            0.010721,           0.0057626,           0.0057626,            0.046463
                  18,             0.04345,           0.0083472,           0.0012901,             0.25754,             0.23959,             0.16412,            0.052821,            0.073123,            0.010755,           0.0097397,           0.0060622,           0.0060622,            0.043462
                  19,            0.044629,           0.0082269,           0.0021352,             0.23889,             0.26973,             0.19658,            0.054691,            0.074917,            0.011362,           0.0084562,           0.0063583,           0.0063583,            0.040458
                  20,            0.044246,           0.0089105,           0.0015101,             0.30052,             0.25222,             0.17352,            0.052222,            0.074121,            0.011164,           0.0080602,           0.0066508,           0.0066508,            0.037451
                  21,            0.044225,            0.008579,           0.0013223,             0.32462,             0.22634,             0.18265,             0.06251,            0.070485,            0.010919,            0.008175,           0.0069395,           0.0069395,            0.034439
                  22,             0.04447,           0.0085585,           0.0013522,             0.29267,             0.24521,             0.16234,            0.058361,            0.071519,             0.01057,           0.0081218,           0.0072243,           0.0072243,            0.031424
                  23,            0.042405,           0.0091348,           0.0014007,             0.26996,             0.26754,             0.16728,            0.046422,            0.072617,            0.011357,           0.0084658,           0.0075049,           0.0075049,            0.028405
                  24,            0.045982,           0.0089092,           0.0012334,             0.30254,             0.30239,             0.20655,             0.05938,            0.064822,            0.011561,           0.0081663,           0.0077813,           0.0077813,            0.025381
                  25,            0.044665,           0.0090927,           0.0014301,             0.33459,              0.2133,             0.16322,            0.051655,            0.077286,            0.010824,           0.0077929,           0.0080533,           0.0080533,            0.022353
                  26,            0.046184,           0.0090521,           0.0013091,             0.26277,             0.20147,              0.1582,            0.041528,            0.072406,            0.010578,           0.0092144,           0.0083207,           0.0083207,            0.019321
                  27,            0.047617,           0.0093041,           0.0022607,             0.38963,              0.2057,             0.17587,            0.056131,            0.070014,            0.010677,            0.010225,           0.0085834,           0.0085834,            0.016283
                  28,            0.045933,            0.009381,           0.0019714,             0.25375,             0.24708,              0.1656,            0.050617,            0.075192,            0.011624,           0.0096073,           0.0088412,           0.0088412,            0.013241
                  29,            0.048403,           0.0093363,            0.002068,             0.27836,             0.27203,               0.177,            0.058151,            0.072235,            0.010583,           0.0085663,            0.009094,            0.009094,            0.010194
                  30,            0.049465,           0.0095236,           0.0019197,             0.28509,              0.2611,             0.16672,            0.058088,            0.071121,            0.010764,           0.0099394,           0.0091406,           0.0091406,           0.0091406
                  31,            0.047299,           0.0093036,           0.0021887,             0.32717,             0.25058,             0.17641,            0.064367,            0.072804,            0.010394,           0.0088271,           0.0091406,           0.0091406,           0.0091406
                  32,             0.04898,            0.010329,           0.0023454,             0.26426,             0.19121,             0.12004,            0.037167,             0.07511,            0.010853,           0.0096965,           0.0090844,           0.0090844,           0.0090844
                  33,            0.047444,           0.0097454,            0.002174,             0.28503,             0.24105,             0.17249,            0.051522,            0.071207,            0.010779,            0.008071,           0.0090266,           0.0090266,           0.0090266
                  34,            0.047501,           0.0096516,           0.0022189,             0.20912,             0.29757,             0.15105,            0.049954,            0.070272,            0.011174,            0.010201,           0.0089673,           0.0089673,           0.0089673
                  35,            0.047478,           0.0096205,           0.0020728,             0.27839,             0.24497,             0.18003,             0.06154,            0.076328,            0.011432,            0.011652,           0.0089065,           0.0089065,           0.0089065
                  36,            0.047493,            0.009289,            0.002579,             0.24065,             0.27747,              0.1592,            0.056456,            0.078764,            0.011316,           0.0085688,           0.0088442,           0.0088442,           0.0088442
                  37,            0.049815,           0.0093671,           0.0020127,             0.31423,             0.21646,             0.15674,            0.050366,             0.07455,            0.011032,           0.0091697,           0.0087804,           0.0087804,           0.0087804
                  38,            0.048218,           0.0092114,            0.001982,             0.22899,             0.30996,             0.17086,            0.053761,            0.069111,             0.01128,           0.0097416,           0.0087151,           0.0087151,           0.0087151
                  39,             0.04476,           0.0095032,           0.0021938,             0.23522,             0.21573,             0.13441,            0.043171,            0.078419,            0.011098,           0.0086807,           0.0086485,           0.0086485,           0.0086485
                  40,            0.049089,             0.01012,           0.0024731,             0.28426,              0.2576,             0.16976,             0.05367,            0.076957,            0.011026,           0.0093148,           0.0085805,           0.0085805,           0.0085805
                  41,            0.049519,           0.0098332,           0.0021473,             0.19733,             0.29543,             0.15113,            0.039024,            0.077083,            0.010998,             0.01054,           0.0085111,           0.0085111,           0.0085111
                  42,            0.046807,           0.0095857,           0.0021799,             0.20288,             0.23246,               0.127,            0.032217,            0.076473,            0.011696,            0.010842,           0.0084404,           0.0084404,           0.0084404
                  43,            0.047097,            0.010072,           0.0021452,              0.3417,             0.24334,             0.18046,            0.060215,            0.074657,             0.01119,            0.012484,           0.0083684,           0.0083684,           0.0083684
                  44,            0.048419,           0.0096977,           0.0024582,             0.44176,             0.22683,             0.18548,            0.055287,            0.078185,            0.011366,             0.01555,           0.0082952,           0.0082952,           0.0082952
                  45,            0.049942,           0.0097017,           0.0022983,             0.34146,             0.22721,             0.17334,            0.054581,            0.077122,            0.011634,            0.013086,           0.0082207,           0.0082207,           0.0082207
                  46,            0.049971,           0.0096759,           0.0025439,             0.38578,             0.19459,             0.17152,            0.055045,            0.073641,            0.011876,            0.009965,            0.008145,            0.008145,            0.008145
                  47,            0.048487,           0.0095999,           0.0023344,             0.26499,             0.26982,             0.19048,            0.062803,            0.072197,            0.011117,           0.0093812,           0.0080682,           0.0080682,           0.0080682
                  48,            0.048759,           0.0094809,           0.0026847,             0.31322,             0.19472,             0.16935,            0.058754,            0.077335,            0.010849,            0.010879,           0.0079903,           0.0079903,           0.0079903
                  49,            0.049102,           0.0092968,           0.0035263,             0.26928,             0.23408,             0.16379,            0.052686,            0.079564,            0.010545,            0.010713,           0.0079112,           0.0079112,           0.0079112
                  50,            0.047276,           0.0099213,           0.0023637,             0.39628,             0.28121,             0.22317,            0.067167,            0.078837,            0.011321,           0.0089383,           0.0078311,           0.0078311,           0.0078311
                  51,            0.048838,           0.0095718,           0.0021423,             0.45804,             0.20713,             0.17535,             0.05206,             0.07743,            0.011127,             0.01163,             0.00775,             0.00775,             0.00775
                  52,            0.045099,           0.0097237,           0.0020356,              0.1995,             0.34222,             0.16744,            0.055867,            0.077098,            0.011213,            0.011844,           0.0076679,           0.0076679,           0.0076679
                  53,            0.045794,             0.01012,           0.0020258,             0.23517,             0.29009,             0.15862,            0.043057,            0.078972,            0.011154,            0.013363,           0.0075848,           0.0075848,           0.0075848
                  54,            0.046024,           0.0088384,           0.0021283,             0.33179,              0.2058,             0.14071,            0.043076,            0.080156,            0.011252,            0.008912,           0.0075009,           0.0075009,           0.0075009
                  55,             0.04572,           0.0095196,           0.0017606,             0.21893,             0.28284,             0.14965,            0.042244,            0.082405,             0.01128,            0.010289,            0.007416,            0.007416,            0.007416
                  56,            0.046247,           0.0092736,            0.001938,             0.30934,             0.20876,             0.15149,            0.047967,            0.076241,            0.010987,           0.0084358,           0.0073303,           0.0073303,           0.0073303
                  57,            0.046647,           0.0088138,           0.0019485,             0.27903,             0.21996,             0.15009,            0.047997,            0.074154,            0.011627,            0.010849,           0.0072438,           0.0072438,           0.0072438
                  58,            0.045979,           0.0092262,           0.0017215,             0.25708,             0.30108,             0.17692,            0.052361,            0.075963,            0.011246,           0.0081637,           0.0071566,           0.0071566,           0.0071566
                  59,            0.044462,           0.0097109,           0.0018261,             0.36903,             0.21428,             0.15872,            0.050222,            0.076249,            0.011268,            0.010448,           0.0070686,           0.0070686,           0.0070686
                  60,            0.045006,            0.009171,           0.0024234,             0.33412,             0.25947,             0.18118,            0.054227,            0.076697,            0.011542,            0.012829,           0.0069799,           0.0069799,           0.0069799
                  61,            0.043228,           0.0094443,           0.0015077,             0.28159,             0.27964,             0.17727,            0.057224,            0.081179,            0.010865,            0.013809,           0.0068906,           0.0068906,           0.0068906
                  62,            0.044569,           0.0094765,           0.0016877,             0.24324,             0.27536,             0.15497,            0.047949,             0.08478,            0.010445,            0.011235,           0.0068006,           0.0068006,           0.0068006
                  63,            0.042313,           0.0087855,           0.0014824,             0.23556,             0.24334,             0.16452,            0.054396,            0.082416,            0.010644,           0.0094813,           0.0067101,           0.0067101,           0.0067101
                  64,            0.042825,           0.0089493,           0.0012463,             0.32035,             0.29734,             0.18278,            0.058576,            0.078088,            0.010693,             0.01211,           0.0066191,           0.0066191,           0.0066191
                  65,            0.044402,           0.0089581,           0.0016345,              0.4747,             0.21622,             0.18644,             0.05287,            0.078414,            0.010999,            0.010506,           0.0065276,           0.0065276,           0.0065276
                  66,            0.041484,           0.0097264,           0.0016326,             0.25654,             0.30765,             0.18401,            0.052984,            0.072371,            0.011264,           0.0088563,           0.0064356,           0.0064356,           0.0064356
                  67,            0.044994,           0.0094257,           0.0017279,             0.24547,             0.23291,             0.15159,            0.045009,            0.074533,            0.011269,            0.012158,           0.0063432,           0.0063432,           0.0063432
                  68,             0.04196,           0.0091989,           0.0028654,             0.23641,             0.24848,             0.13184,            0.041846,            0.077168,            0.011788,            0.011592,           0.0062505,           0.0062505,           0.0062505
                  69,            0.043887,           0.0092576,           0.0022045,             0.29568,             0.23633,             0.15657,            0.052423,            0.076435,            0.011139,           0.0099505,           0.0061574,           0.0061574,           0.0061574
                  70,            0.042979,           0.0088723,           0.0016155,             0.22835,             0.24357,             0.12779,            0.044803,            0.078293,            0.010951,            0.010358,            0.006064,            0.006064,            0.006064
                  71,            0.043135,           0.0089834,           0.0014279,             0.26346,             0.21092,             0.14711,            0.055954,            0.076853,            0.010538,            0.011573,           0.0059704,           0.0059704,           0.0059704
                  72,            0.042825,           0.0088291,           0.0014741,             0.19697,             0.28495,             0.14797,            0.053575,            0.079354,            0.011097,            0.010579,           0.0058766,           0.0058766,           0.0058766
                  73,            0.040069,            0.009087,           0.0013316,             0.27212,             0.26484,             0.16014,            0.057433,            0.074356,            0.011093,           0.0095065,           0.0057826,           0.0057826,           0.0057826
                  74,            0.041243,           0.0090186,           0.0012539,             0.32076,             0.24147,             0.18044,            0.064635,            0.074778,            0.011489,           0.0084931,           0.0056884,           0.0056884,           0.0056884
                  75,            0.042202,           0.0087267,           0.0012825,              0.2369,             0.25573,             0.15046,            0.054057,            0.077891,            0.011732,            0.011601,           0.0055942,           0.0055942,           0.0055942
                  76,            0.038344,           0.0085684,           0.0017561,             0.30572,             0.23446,             0.16094,            0.048874,            0.079515,            0.011225,           0.0091904,              0.0055,              0.0055,              0.0055
                  77,             0.03981,           0.0082944,           0.0013926,             0.37554,             0.22529,             0.15536,            0.048995,             0.08208,            0.011029,            0.010218,           0.0054058,           0.0054058,           0.0054058
                  78,            0.040311,           0.0087218,           0.0012774,             0.21846,             0.28635,             0.16341,            0.056341,            0.079736,            0.011467,           0.0074828,           0.0053116,           0.0053116,           0.0053116
                  79,            0.042096,           0.0086476,           0.0012304,             0.27743,             0.23422,             0.15792,            0.054388,            0.077691,            0.011887,           0.0092216,           0.0052174,           0.0052174,           0.0052174
                  80,            0.041242,           0.0087689,           0.0017178,             0.29776,             0.24277,             0.16338,             0.04785,            0.078549,            0.011283,            0.010986,           0.0051234,           0.0051234,           0.0051234
                  81,            0.041626,           0.0087147,           0.0011218,             0.32554,             0.23185,             0.16459,            0.052472,            0.079431,            0.011423,             0.01317,           0.0050296,           0.0050296,           0.0050296
                  82,             0.04076,            0.008791,           0.0011386,             0.40786,             0.19822,             0.16707,            0.056053,            0.078746,            0.011774,            0.012208,            0.004936,            0.004936,            0.004936
                  83,            0.039194,           0.0085823,            0.001169,              0.4126,             0.18209,             0.15395,            0.052022,            0.076545,             0.01174,            0.012076,           0.0048426,           0.0048426,           0.0048426
                  84,            0.038238,           0.0084671,           0.0010989,             0.44027,             0.21025,             0.16852,            0.050921,            0.080071,            0.011468,            0.012515,           0.0047495,           0.0047495,           0.0047495
                  85,            0.040642,           0.0083488,          0.00098241,             0.28486,             0.28635,             0.18931,            0.058186,            0.083867,            0.011232,             0.01188,           0.0046568,           0.0046568,           0.0046568
                  86,            0.038777,           0.0082416,            0.001036,              0.3061,             0.26484,             0.17778,            0.049454,            0.085188,            0.011319,            0.011253,           0.0045644,           0.0045644,           0.0045644
                  87,            0.040038,           0.0087693,           0.0010277,             0.24182,             0.26229,             0.15712,            0.049965,            0.082177,            0.011483,            0.011794,           0.0044724,           0.0044724,           0.0044724
                  88,            0.038561,           0.0084926,           0.0011639,             0.36913,             0.19263,             0.15941,             0.05294,            0.077799,            0.012076,            0.011011,           0.0043809,           0.0043809,           0.0043809
                  89,            0.040824,           0.0088219,           0.0014741,             0.31842,             0.21434,             0.14811,            0.050369,            0.077579,            0.012129,            0.013447,           0.0042899,           0.0042899,           0.0042899
                  90,             0.03776,            0.008439,           0.0010205,             0.35341,             0.24684,             0.17669,            0.061838,            0.080812,            0.011369,            0.012241,           0.0041994,           0.0041994,           0.0041994
                  91,             0.03842,           0.0083392,           0.0011896,             0.22866,             0.32048,             0.16589,            0.059155,            0.078934,            0.011651,            0.010867,           0.0041094,           0.0041094,           0.0041094
                  92,            0.037767,           0.0087251,          0.00096425,             0.30558,             0.23235,             0.16508,            0.054403,            0.081557,            0.011202,            0.011457,           0.0040201,           0.0040201,           0.0040201
                  93,            0.038095,            0.008355,           0.0010691,             0.29552,             0.23399,             0.15691,            0.055363,            0.079984,            0.011428,            0.012161,           0.0039314,           0.0039314,           0.0039314
                  94,            0.037173,           0.0084548,           0.0011032,             0.33705,             0.23767,             0.17219,            0.064982,            0.080511,            0.011608,            0.011063,           0.0038434,           0.0038434,           0.0038434
                  95,            0.038259,           0.0086051,           0.0016081,             0.29639,              0.2791,              0.1689,             0.06286,            0.082097,            0.011648,            0.012172,           0.0037562,           0.0037562,           0.0037562
                  96,            0.037275,           0.0082422,          0.00090312,             0.40599,             0.20196,             0.17274,            0.057715,            0.075705,            0.011929,           0.0098366,           0.0036697,           0.0036697,           0.0036697
                  97,            0.036615,           0.0083702,           0.0011369,             0.35121,              0.2431,             0.16995,            0.055398,             0.07723,            0.011692,            0.014786,            0.003584,            0.003584,            0.003584
                  98,             0.03656,           0.0084123,          0.00085965,             0.35886,             0.22324,             0.18529,            0.055196,            0.079326,            0.011447,            0.014899,           0.0034991,           0.0034991,           0.0034991
                  99,            0.035661,           0.0083504,          0.00082016,             0.27458,              0.2832,             0.19193,            0.056611,            0.081856,             0.01185,            0.012184,           0.0034152,           0.0034152,           0.0034152
                 100,            0.035923,           0.0083987,          0.00091671,             0.32914,             0.25199,             0.18288,            0.060691,            0.081196,            0.012016,            0.013816,           0.0033321,           0.0033321,           0.0033321
                 101,            0.034976,           0.0081783,          0.00093578,             0.35497,             0.21786,             0.17124,            0.055973,            0.076808,             0.01225,            0.014204,             0.00325,             0.00325,             0.00325
                 102,            0.035804,           0.0079649,           0.0010285,             0.41319,              0.2036,             0.15499,            0.047585,            0.081976,            0.012068,            0.013181,           0.0031689,           0.0031689,           0.0031689
                 103,            0.037563,           0.0081036,          0.00077383,             0.38354,             0.19448,             0.15945,            0.052511,            0.080865,            0.011985,            0.011882,           0.0030888,           0.0030888,           0.0030888
                 104,            0.032929,           0.0078516,          0.00081492,             0.32754,             0.19986,             0.15923,            0.054561,            0.080062,            0.012135,            0.012084,           0.0030097,           0.0030097,           0.0030097
                 105,             0.03408,           0.0080084,          0.00085235,             0.32807,             0.20696,             0.16104,            0.049362,            0.077338,            0.011978,            0.012735,           0.0029318,           0.0029318,           0.0029318
                 106,              0.0345,           0.0081441,          0.00086824,             0.30095,             0.21786,             0.15569,            0.050747,            0.076785,            0.011897,             0.01314,            0.002855,            0.002855,            0.002855
                 107,            0.034159,           0.0081802,          0.00085657,               0.299,             0.27194,             0.16966,            0.059767,            0.076179,            0.011743,            0.010354,           0.0027793,           0.0027793,           0.0027793
                 108,             0.03313,           0.0081266,          0.00071994,             0.40933,             0.21085,              0.1749,            0.062933,            0.078309,            0.011515,            0.011675,           0.0027048,           0.0027048,           0.0027048
                 109,            0.033885,           0.0081147,           0.0011066,             0.28024,             0.30435,              0.1793,            0.057833,              0.0782,            0.011705,            0.013554,           0.0026316,           0.0026316,           0.0026316
                 110,            0.031674,            0.007374,            0.000653,             0.34472,              0.2431,             0.18131,             0.05865,            0.079024,            0.011857,            0.013171,           0.0025596,           0.0025596,           0.0025596
                 111,            0.033887,           0.0077821,          0.00070437,             0.39021,              0.2216,             0.17269,            0.054736,            0.079788,            0.011771,            0.012842,           0.0024889,           0.0024889,           0.0024889
                 112,            0.033793,           0.0080539,          0.00082762,               0.482,             0.23216,             0.19776,            0.062941,            0.080066,            0.011675,            0.013684,           0.0024195,           0.0024195,           0.0024195
                 113,            0.032481,           0.0077333,          0.00066492,             0.45669,             0.20338,             0.18694,            0.062718,             0.08023,            0.011584,            0.013599,           0.0023515,           0.0023515,           0.0023515
                 114,            0.032511,           0.0079616,          0.00077074,             0.34622,             0.22885,             0.18589,            0.060024,            0.078245,            0.011691,            0.013292,           0.0022849,           0.0022849,           0.0022849
